,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,date_posted,days_listed
195,6995.0,2005,honda accord,like new,6,gas,45429.0,automatic,sedan,grey,2018-11-04,53
196,11795.0,2015,toyota tacoma,excellent,4,gas,111048.0,automatic,truck,white,2018-09-30,30
197,6995.0,2011,hyundai sonata,excellent,4,gas,117371.0,automatic,sedan,grey,2019-02-26,20
198,6795.0,2013,volkswagen passat,excellent,5,gas,119453.0,automatic,sedan,red,2018-12-12,19
199,6795.0,2012,volkswagen jetta,excellent,5,gas,104310.0,automatic,sedan,white,2019-03-11,16
200,7995.0,2014,chevrolet cruze,excellent,4,gas,120052.0,automatic,sedan,blue,2018-10-27,27
201,25800.0,2015,toyota tacoma,like new,6,gas,49900.0,automatic,pickup,white,2018-07-24,39
202,8595.0,2010,toyota prius,excellent,4,gas,99630.0,automatic,hatchback,white,2019-02-05,44
203,8995.0,2010,toyota prius,excellent,4,gas,74138.0,automatic,hatchback,white,2018-07-09,38
204,7100.0,2004,ford f-150,good,8,gas,121000.0,automatic,truck,white,2019-03-10,23
205,4795.0,2007,nissan altima,excellent,4,gas,131020.0,automatic,sedan,grey,2018-10-19,31
206,6500.0,2009,ford f-250,good,8,gas,113000.0,automatic,pickup,white,2018-09-09,19
207,22800.0,2013,ford f-350 sd,good,8,diesel,130043.055,automatic,truck,brown,2018-09-27,38
208,1500.0,2001,jeep grand cherokee,good,6,gas,185000.0,automatic,SUV,black,2018-10-15,56
209,9799.0,2017,nissan altima,excellent,4,gas,51153.0,automatic,sedan,silver,2018-06-23,35
210,11799.0,2014,chevrolet camaro,excellent,6,gas,50468.0,automatic,coupe,yellow,2018-12-30,39
211,5700.0,2002,chevrolet silverado 1500,good,8,gas,105000.0,automatic,pickup,silver,2018-06-17,68
212,3700.0,2009,nissan rogue,good,4,gas,174902.0,automatic,SUV,black,2019-03-14,31
213,13499.0,2014,ford f150,good,6,gas,130043.055,automatic,pickup,white,2019-02-13,20
